Id,SalePrice
1461,126112.276091
1462,148471.470520
1463,168332.258609
1464,196729.145157
1465,160219.187020
1466,162732.878918
1467,137661.686595
1468,152472.858886
1469,151205.607904
1470,116507.673580
1471,203576.793095
1472,90386.045325
1473,92098.717611
1474,139293.434273
1475,115305.597537
1476,308353.557466
1477,196899.871906
1478,255781.999984
1479,266815.834032
1480,333471.210264
1481,247779.755008
1482,181087.821882
1483,152509.684275
1484,161957.395159
1485,171069.310409
1486,175131.642818
1487,250112.184410
1488,194598.653115
1489,167546.935181
1490,210488.931130
1491,180527.572587
1492,107920.591198
1493,150592.716349
1494,220316.739337
1495,243913.645547
1496,221730.131042
1497,148708.257305
1498,136360.558620
1499,133847.304562
1500,150914.954928
1501,151095.984903
1502,146692.165120
1503,220422.219368
1504,183355.233100
1505,203782.053518
1506,163627.460772
1507,235188.580490
1508,159595.576403
1509,145298.351681
1510,137563.542499
1511,137628.270514
1512,149577.512521
1513,130967.657206
1514,162517.034811
1515,161603.748883
1516,124577.085499
1517,145933.320466
1518,146856.387027
1519,197884.841454
1520,123843.533803
1521,130277.993549
1522,144990.310518
1523,111235.059755
1524,111974.257869
1525,116496.644132
1526,123401.458433
1527,107394.664290
1528,123246.216719
1529,123381.103612
1530,140680.299087
1531,111516.058481
1532,109850.173307
1533,132028.420263
1534,116671.545397
1535,141177.257752
1536,107010.542106
1537,98156.265944
1538,125384.359932
1539,145849.502934
1540,123588.730164
1541,117774.573146
1542,121709.791072
1543,154359.277992
1544,90495.618057
1545,108419.948052
1546,112501.419212
1547,115120.955228
1548,109693.715588
1549,108503.533042
1550,116679.267231
1551,120677.294671
1552,134797.684406
1553,130724.013041
1554,121732.638940
1555,181254.028142
1556,125042.599323
1557,116349.873927
1558,105923.146148
1559,104695.783792
1560,121143.711240
1561,143580.825032
1562,117824.344524
1563,117493.499181
1564,149115.643473
1565,142071.988173
1566,199438.415420
1567,97519.453606
1568,199467.884619
1569,139429.341206
1570,131027.052738
1571,120015.308974
1572,135595.618382
1573,215979.995809
1574,129548.902915
1575,182945.780928
1576,215997.985675
1577,176209.152146
1578,143422.695423
1579,126564.453085
1580,169081.293662
1581,156452.199401
1582,112972.662539
1583,244685.205430
1584,187582.749310
1585,132052.177401
1586,85312.443058
1587,103017.332443
1588,135860.169337
1589,115049.473749
1590,124307.528173
1591,98190.647767
1592,125956.309113
1593,110939.541743
1594,126818.832942
1595,114108.358133
1596,190117.563931
1597,163077.133913
1598,183713.259309
1599,170883.510014
1600,167363.443683
1601,93139.725660
1602,116915.834615
1603,99150.502112
1604,239251.096729
1605,217313.389760
1606,140920.810092
1607,180561.821817
1608,196955.472834
1609,153482.641599
1610,146743.351215
1611,157772.661525
1612,182882.016931
1613,169029.328816
1614,111336.271152
1615,89808.397925
1616,88090.538552
1617,87166.543834
1618,113820.317914
1619,131077.841957
1620,144240.016865
1621,129870.610313
1622,133134.234326
1623,211213.915854
1624,194360.666475
1625,122026.920856
1626,161564.176113
1627,173534.159842
1628,222816.363843
1629,159430.211661
1630,207726.312837
1631,175639.627399
1632,200250.926797
1633,156173.189980
1634,180715.660490
1635,168933.539297
1636,170318.258944
1637,183495.269375
1638,165868.538290
1639,167702.531031
1640,214047.487315
1641,161289.941344
1642,194573.962675
1643,174817.974689
1644,193328.384829
1645,180678.973973
1646,142053.950700
1647,139834.400074
1648,133643.937870
1649,131133.287133
1650,114272.138690
1651,106985.479318
1652,90864.499923
1653,90890.354564
1654,135032.683578
1655,119161.381772
1656,134402.522538
1657,131636.959202
1658,131689.624719
1659,105677.795571
1660,131934.852123
1661,336567.233090
1662,273145.016337
1663,308879.414945
1664,347415.079225
1665,242372.881218
1666,260823.400238
1667,270249.582583
1668,299849.888510
1669,243036.387900
1670,317744.476190
1671,250312.414821
1672,326322.900284
1673,209833.349394
1674,210805.959807
1675,178982.945138
1676,195925.073246
1677,184700.218689
1678,337269.862303
1679,319893.956046
1680,260709.883580
1681,208229.575868
1682,249383.569144
1683,183354.710370
1684,159147.245080
1685,157090.004948
1686,164554.511895
1687,153739.919781
1688,170414.502661
1689,164132.969340
1690,172167.803054
1691,174290.439469
1692,204203.026508
1693,157384.581041
1694,171814.583916
1695,152968.126960
1696,230916.603309
1697,155795.752710
1698,264223.293891
1699,231194.304299
1700,227687.848693
1701,230953.921064
1702,196681.743705
1703,193412.593505
1704,229509.931105
1705,219759.978265
1706,328601.628030
1707,177496.159835
1708,188331.986820
1709,219967.608230
1710,204434.866075
1711,240710.256457
1712,211711.023197
1713,221994.250625
1714,191047.746967
1715,186397.062876
1716,153891.956587
1717,161626.331891
1718,130727.661706
1719,180204.320786
1720,181938.742445
1721,141143.722038
1722,118894.129163
1723,138596.323124
1724,180544.079760
1725,218131.875662
1726,169391.475628
1727,167605.244809
1728,154982.118840
1729,152728.832177
1730,125451.315373
1731,113975.161430
1732,118188.204046
1733,115942.634058
1734,119938.414360
1735,125947.082857
1736,113908.595453
1737,243909.412311
1738,211164.301530
1739,145247.339709
1740,186198.161639
1741,165535.979565
1742,148202.975871
1743,141091.559021
1744,266657.650741
1745,215895.304635
1746,157669.837996
1747,186030.492176
1748,189718.880353
1749,149755.793681
1750,126556.716837
1751,186244.061554
1752,113706.245399
1753,154671.989502
1754,176835.395387
1755,169374.154151
1756,117899.774477
1757,109282.653741
1758,146577.933666
1759,156505.546565
1760,140537.126564
1761,134488.054867
1762,166728.384750
1763,149587.526762
1764,119643.342515
1765,166440.446455
1766,159618.454703
1767,191754.297731
1768,135299.568268
1769,140883.005941
1770,122067.913404
1771,123310.961791
1772,142873.815096
1773,128867.330030
1774,156980.859757
1775,121314.814184
1776,125408.515327
1777,112533.780288
1778,120582.288697
1779,106768.878622
1780,151300.999492
1781,128190.973037
1782,94816.333674
1783,126474.967842
1784,96559.066325
1785,120632.199630
1786,142120.932724
1787,148867.798763
1788,83575.024999
1789,90179.808252
1790,99249.451660
1791,189428.935488
1792,135004.774340
1793,132401.157559
1794,122058.657302
1795,122083.681338
1796,123228.862807
1797,121709.451421
1798,126579.474166
1799,115050.997212
1800,124704.103326
1801,131509.452353
1802,116397.958633
1803,142154.422982
1804,134077.257254
1805,124892.448416
1806,111231.612191
1807,143341.189376
1808,140299.063057
1809,109047.536767
1810,111209.777809
1811,112865.365085
1812,103098.877609
1813,104435.133611
1814,101001.042293
1815,81282.244687
1816,93403.594160
1817,129600.680850
1818,131691.529374
1819,137834.146542
1820,95985.383270
1821,104386.441818
1822,127563.418608
1823,86662.482035
1824,123234.647828
1825,120550.951327
1826,100641.725232
1827,102713.088377
1828,113442.126338
1829,111256.983360
1830,130617.732382
1831,118879.595310
1832,110778.626734
1833,127277.092849
1834,117515.651784
1835,101500.914977
1836,107504.136600
1837,106258.365987
1838,124584.430729
1839,89969.852178
